January,February,March,April,May,June,July,August,September,October,November,December,year,state
30.8,38.4,41.9,53.2,62.1,76.8,80.1,76.8,69.3,59.0,43.1,36.2,1997,Northeast Region
37.7,40.3,44.6,57.8,64.7,75.9,81.9,82.4,75.3,56.1,44.2,34.1,2002,Northeast Region
35.2,26.9,43.8,52.0,70.6,77.9,79.0,79.7,74.5,65.7,45.4,34.3,2007,Northeast Region
35.7,39.5,54.6,57.7,71.6,76.0,83.6,80.7,71.6,60.6,45.1,39.6,2012,Northeast Region
36.2,41.2,40.0,60.5,64.9,76.1,79.6,77.4,74.3,66.4,46.6,32.0,2017,Northeast Region
28.9,37.4,46.1,55.6,71.0,76.2,82.8,81.8,71.1,61.4,51.3,38.1,2022,Northeast Region
12.2,30.5,45.7,62.2,77.1,77.2,83.7,75.0,68.3,57.1,39.9,23.2,1977,East North Central
13.9,25.1,36.3,51.4,70.4,71.9,81.6,77.0,68.0,58.6,39.2,33.1,1982,East North Central
28.6,38.4,45.6,63.2,72.9,81.6,83.8,77.5,71.3,53.4,45.1,31.3,1987,East North Central
29.1,33.4,41.2,50.6,70.4,74.6,73.9,74.4,68.3,57.1,35.9,27.8,1992,East North Central
20.2,29.6,39.1,52.4,61.6,79.5,79.7,75.8,71.5,58.9,36.5,32.4,1997,East North Central
32.4,36.3,35.0,54.1,63.5,78.8,84.6,78.8,74.1,50.8,40.0,33.1,2002,East North Central
27.7,20.6,45.2,54.2,72.4,79.8,82.4,80.0,73.4,62.3,42.1,25.3,2007,East North Central
31.1,34.9,56.3,58.4,72.7,80.0,87.6,80.6,72.5,55.9,43.7,31.8,2012,East North Central
27.1,38.1,40.6,57.7,65.6,78.4,81.5,75.9,74.4,60.3,40.3,26.5,2017,East North Central
20.7,25.7,40.0,48.5,68.5,79.0,81.6,79.3,72.8,60.0,43.6,26.2,2022,East North Central
24.2,42.5,58.9,70.2,80.4,82.5,88.7,84.0,79.1,64.1,53.3,39.4,1977,Central Region
33.2,39.8,54.4,60.9,79.4,78.7,86.4,82.3,75.9,68.2,54.5,48.8,1982,Central Region
37.6,46.3,57.5,65.4,80.7,85.3,87.6,86.9,79.3,63.0,57.6,44.4,1987,Central Region
42.0,48.9,54.6,64.3,72.8,79.2,83.9,79.8,76.5,66.5,50.6,41.7,1992,Central Region
37.2,45.9,57.0,60.9,70.0,79.7,86.6,82.2,78.2,67.2,48.4,41.4,1997,Central Region
45.4,47.3,52.4,67.5,71.7,84.7,88.5,87.0,82.7,63.7,50.7,42.8,2002,Central Region
42.1,35.3,61.7,62.8,79.6,84.5,84.8,91.0,82.9,72.2,55.0,43.5,2007,Central Region
45.4,48.0,68.2,68.0,80.7,85.5,92.8,86.6,77.4,64.6,54.1,48.1,2012,Central Region
44.4,54.8,56.0,70.1,74.0,83.3,86.6,82.3,80.2,70.0,55.2,42.3,2017,Central Region
37.4,44.3,57.7,63.1,76.6,85.4,87.4,84.8,79.0,67.6,55.7,42.5,2022,Central Region
44.7,58.6,69.4,77.7,83.4,89.1,92.2,88.9,85.2,72.4,66.3,56.2,1977,Southeast Region
53.2,61.0,68.2,71.9,83.6,86.2,88.5,87.2,82.4,74.8,67.4,62.2,1982,Southeast Region
53.7,57.0,65.6,71.8,83.1,87.7,91.4,91.1,84.3,72.5,68.6,60.5,1987,Southeast Region
56.3,62.2,66.2,73.4,78.6,84.0,90.0,85.3,82.6,73.3,64.8,56.7,1992,Southeast Region
57.1,62.1,72.5,71.5,78.9,83.0,89.8,87.9,84.8,75.0,62.1,56.4,1997,Southeast Region
59.3,61.0,68.8,78.3,81.6,87.9,90.5,89.8,85.0,75.5,63.4,56.1,2002,Southeast Region
59.1,57.0,72.1,73.6,82.9,88.4,88.7,93.8,86.4,79.0,67.0,63.1,2007,Southeast Region
61.1,63.0,75.3,76.4,83.9,86.2,91.9,87.1,83.7,74.7,64.1,62.3,2012,Southeast Region
61.8,68.4,68.8,78.9,82.0,85.4,90.1,87.6,84.0,77.7,67.6,58.2,2017,Southeast Region
55.6,63.7,70.9,75.6,83.4,89.7,90.3,88.2,84.4,74.4,68.2,58.4,2022,Southeast Region
21.6,40.1,43.6,61.5,69.7,79.3,83.5,76.6,69.8,59.0,39.4,26.6,1977,West North Central
19.4,30.4,39.8,51.7,62.8,71.3,81.7,81.9,68.8,55.5,37.5,32.2,1982,West North Central
34.2,40.2,41.8,64.0,70.2,79.6,82.3,77.1,73.3,59.2,46.1,33.9,1987,West North Central
37.2,42.4,50.3,57.2,70.6,74.5,74.5,77.3,71.1,59.8,36.3,26.0,1992,West North Central
24.0,33.5,44.2,48.9,65.2,77.0,80.8,80.3,74.1,58.6,40.5,34.9,1997,West North Central
33.0,39.1,33.5,54.4,63.6,78.9,87.6,79.8,72.4,49.4,43.8,36.8,2002,West North Central
29.9,29.0,51.2,54.1,68.4,77.5,88.4,82.4,72.8,59.6,45.4,29.2,2007,West North Central
36.6,35.7,56.4,60.5,67.7,79.8,89.0,84.6,76.5,55.1,45.0,31.2,2012,West North Central
25.8,37.8,47.2,55.8,67.0,78.3,88.2,80.3,71.4,58.1,44.0,31.8,2017,West North Central
32.5,33.1,45.4,50.0,63.8,76.7,86.0,85.4,77.8,61.3,37.1,25.4,2022,West North Central
44.4,60.7,68.0,75.0,83.3,91.8,94.5,92.2,89.2,77.2,65.6,57.4,1977,South Region
53.8,53.6,67.3,72.4,81.3,86.9,93.1,93.4,87.0,76.3,63.0,56.2,1982,South Region
52.2,58.2,64.3,75.5,82.9,87.9,91.2,92.8,85.4,75.6,65.0,55.8,1987,South Region
53.2,62.0,68.3,74.3,79.2,86.2,91.0,87.3,85.5,78.3,59.4,54.2,1992,South Region
52.2,56.2,69.7,68.8,80.0,87.0,93.3,91.0,88.0,75.6,60.3,52.4,1997,South Region
57.5,57.2,64.7,77.2,82.5,90.4,91.7,92.8,87.2,71.0,62.2,55.9,2002,South Region
49.4,56.2,72.0,71.0,81.0,87.5,88.8,93.7,86.8,79.4,67.1,57.0,2007,South Region
60.5,59.3,74.3,79.6,86.3,93.1,95.7,94.2,87.2,75.0,69.2,59.9,2012,South Region
58.3,68.0,72.1,76.9,81.8,89.6,93.7,88.8,86.7,77.7,68.8,56.0,2017,South Region
55.6,57.0,68.6,77.7,86.3,93.2,97.6,93.0,89.1,77.8,62.5,56.4,2022,South Region
42.2,52.6,53.1,66.2,71.6,86.6,87.7,85.8,80.2,70.1,57.0,50.6,1977,Southwest Region
44.4,47.5,54.9,63.4,71.6,81.4,86.8,85.1,76.8,64.8,50.9,43.0,1982,Southwest Region
43.6,48.1,52.9,67.5,72.1,84.6,87.0,83.8,78.6,70.9,53.2,42.6,1987,Southwest Region
42.6,50.4,56.9,69.7,73.6,81.6,85.4,84.5,80.6,71.0,49.0,41.0,1992,Southwest Region
43.4,47.6,62.1,60.4,76.0,82.9,87.8,85.1,79.7,67.2,53.8,42.1,1997,Southwest Region
46.2,50.6,56.6,70.3,77.1,89.6,90.9,88.3,78.7,64.6,54.5,45.2,2002,Southwest Region
40.8,50.2,61.5,65.5,75.0,86.2,90.0,88.1,80.3,70.0,60.6,42.7,2007,Southwest Region
50.4,49.0,61.9,69.8,78.1,89.9,88.8,88.4,80.8,70.2,60.8,46.1,2012,Southwest Region
44.0,54.3,64.6,66.2,73.8,88.6,89.5,85.6,79.2,70.2,63.0,51.7,2017,Southwest Region
48.2,48.6,58.0,68.1,77.3,86.3,90.2,85.8,83.0,67.5,51.4,46.0,2022,Southwest Region
32.6,45.2,44.2,60.7,56.9,75.2,78.0,80.5,66.5,58.4,42.2,37.8,1977,Northwest Region
33.3,37.8,45.4,50.5,62.0,71.4,76.0,79.0,67.7,55.1,39.7,35.0,1982,Northwest Region
34.6,42.7,48.0,62.2,66.3,74.8,75.6,78.9,75.9,65.7,45.7,35.1,1987,Northwest Region
39.1,46.8,55.4,58.7,71.2,75.4,77.4,81.3,70.0,60.7,40.7,32.2,1992,Northwest Region
36.2,40.6,47.9,52.2,67.3,69.1,77.6,80.7,71.6,55.9,46.2,36.7,1997,Northwest Region
35.7,41.0,43.9,55.2,62.0,73.1,83.7,78.4,72.1,57.4,47.0,39.1,2002,Northwest Region
35.5,42.1,52.2,55.9,66.5,72.5,85.4,79.9,70.0,55.5,45.8,34.5,2007,Northwest Region
39.2,40.9,46.7,57.0,63.0,68.7,81.7,83.4,76.0,58.3,46.1,36.0,2012,Northwest Region
31.2,39.2,48.3,52.4,65.3,72.9,84.8,84.0,71.4,56.7,44.7,37.0,2017,Northwest Region
38.0,41.4,49.9,50.0,58.4,70.2,84.5,85.4,76.2,64.9,39.3,33.5,2022,Northwest Region
46.8,57.8,53.2,68.7,63.5,84.7,89.4,87.8,79.2,72.2,59.4,52.4,1977,West Region
45.3,52.7,52.9,61.0,72.8,78.3,86.3,87.4,76.4,66.1,52.0,46.8,1982,West Region
46.3,52.4,55.6,71.5,73.8,84.3,84.8,88.5,83.3,74.3,55.2,44.7,1987,West Region
48.6,54.6,58.2,70.1,79.2,81.2,86.8,89.9,83.2,72.7,55.4,44.3,1992,West Region
48.0,52.8,64.2,64.0,79.3,80.1,87.5,88.8,81.6,69.0,57.8,47.0,1997,West Region
48.0,55.7,57.1,66.6,73.7,85.5,92.8,88.9,83.1,69.5,59.5,49.2,2002,West Region
48.1,53.5,64.8,66.7,77.0,85.3,92.4,90.2,79.6,68.2,61.8,45.9,2007,West Region
54.3,53.2,58.4,66.7,76.6,84.0,89.8,91.8,85.9,72.4,60.6,47.2,2012,West Region
45.2,52.1,62.4,64.5,75.0,86.2,93.1,90.7,80.2,72.3,60.8,55.0,2017,West Region
52.9,55.7,61.9,65.9,73.2,84.9,92.0,91.0,85.4,74.5,53.0,47.6,2022,West Region
33.66,48.51,54.97,67.59,74.1,83.55,87.49,84.02,77.77,66.69,53.38,43.25,1977,National
37.33,43.38,52.83,60.96,73.15,78.58,85.62,84.56,76.03,65.35,51.17,45.05,1982,National
41.52,47.62,53.87,67.66,75.36,83.28,85.82,84.6,78.71,66.9,54.81,43.92,1987,National
43.52,50.07,56.35,64.96,74.28,79.77,83.03,82.35,77.52,67.6,49.19,40.87,1992,National
39.81,46.08,57.09,59.86,72.28,80.42,85.84,84.15,78.93,66.24,50.85,43.05,1997,National
45.07,48.54,51.73,65.95,72.46,83.98,88.79,85.95,79.63,62.58,52.74,44.87,2002,National
41.4,42.89,60.03,62.83,75.36,82.92,87.44,87.48,79.41,68.99,55.9,42.98,2007,National
47.59,48.07,62.85,67.64,76.64,84.2,89.96,87.39,80.08,66.07,55.92,45.82,2012,National
42.78,52.14,57.81,65.88,73.26,83.25,88.56,84.27,78.76,68.45,56.17,44.83,2017,National
42.85,46.22,56.71,63.21,74.39,83.7,89.22,86.88,81.16,68.58,51.82,42.57,2022,National
